epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1526.92,1.39771,2.03953,1.27244,0.88927,0.91366,0.95056,0.61897,1.13622,1.11365,1.1275,0.000275738,0.000275738,0.000275738
2,3005.1,1.12015,0.83068,1.11611,0.95845,0.96401,0.97879,0.67081,1.0583,0.74059,1.09574,0.000542448,0.000542448,0.000542448
3,4447.81,1.07556,0.73435,1.10188,0.97041,0.96709,0.97843,0.65251,1.11318,0.68137,1.10711,0.000798161,0.000798161,0.000798161
4,5752.77,1.08865,0.70238,1.10406,0.98301,0.96923,0.9834,0.67964,1.03374,0.61602,1.08686,0.00078352,0.00078352,0.00078352
5,6939.35,1.01457,0.64375,1.07638,0.97852,0.97022,0.98379,0.70808,0.98659,0.60852,1.06604,0.000767026,0.000767026,0.000767026
6,8125.45,0.98454,0.60217,1.06384,0.98176,0.97346,0.98293,0.70093,0.98692,0.55733,1.05598,0.000750533,0.000750533,0.000750533
7,21225.1,0.97774,0.57155,1.059,0.98618,0.97799,0.98607,0.7339,0.9095,0.49033,1.02671,0.00073404,0.00073404,0.00073404
8,22527.1,0.95061,0.54124,1.04479,0.98261,0.97295,0.98451,0.72559,0.93272,0.47623,1.02972,0.000717546,0.000717546,0.000717546
9,23889.8,0.92023,0.51598,1.03406,0.97974,0.9817,0.98585,0.74589,0.89046,0.45218,1.01864,0.000701053,0.000701053,0.000701053
10,25091.2,0.92538,0.51223,1.03786,0.98196,0.97969,0.98645,0.74467,0.9138,0.45218,1.03144,0.000684559,0.000684559,0.000684559
11,26253.6,0.89071,0.48816,1.02381,0.98346,0.98113,0.98681,0.7389,0.89988,0.44507,1.03055,0.000668066,0.000668066,0.000668066
12,27518.6,0.88427,0.47634,1.01922,0.98564,0.97805,0.98805,0.74492,0.89902,0.4262,1.02622,0.000651573,0.000651573,0.000651573
13,28770.4,0.88303,0.4678,1.01839,0.98437,0.98278,0.98719,0.7281,0.94013,0.43267,1.05083,0.000635079,0.000635079,0.000635079
14,29927.1,0.92329,0.47698,1.03873,0.98842,0.98143,0.98833,0.76013,0.84699,0.40283,1.00723,0.000618586,0.000618586,0.000618586
